subject_id,trial_id,task,task_label,obj_dwell_prop,scene_dwell_prop,obj_fix_count,scene_fix_count,obj_dwell_early_ms,obj_dwell_middle_ms,obj_dwell_late_ms,scene_dwell_early_ms,scene_dwell_middle_ms,scene_dwell_late_ms,mean_fix_duration_ms,first_fix_latency_obj_ms,obj_scene_transitions,transition_entropy,obj_revisits,scene_revisits,scanpath_length_deg,fixation_dispersion,saccade_amplitude_mean_deg
1,137,RELATIONAL,0,0.7768506056527591,0.2231493943472409,9,3,1463.0,858.0,565.0,0.0,619.0,210.0,309.5833333333333,37.0,4.0,1.0,2,1,35.22170272529929,1056.4279468767138,3.3058527418354147
1,161,ITEM,1,0.9239284700539313,0.0760715299460687,10,1,1266.0,1023.0,966.0,0.0,268.0,0.0,320.27272727272725,46.0,2.0,1.0,1,0,20.505988215417155,599.0506249057754,2.072545335552971
1,162,ITEM,1,1.0,0.0,10,0,1209.0,1173.0,730.0,0.0,0.0,0.0,311.2,51.0,0.0,,0,0,14.73043360568519,235.9449472334596,1.6456769337446366
1,163,ITEM,1,1.0,0.0,5,0,3114.0,0.0,824.0,0.0,0.0,0.0,787.6,36.0,0.0,,0,0,4.070939614680501,177.52974398674732,1.0181364794289272
1,164,ITEM,1,1.0,0.0,5,0,1963.0,1465.0,551.0,0.0,0.0,0.0,795.8,46.0,0.0,,0,0,2.8467729791588785,124.6108832414818,0.7118305352782944
1,166,ITEM,1,1.0,0.0,7,0,1115.0,1091.0,1224.0,0.0,0.0,0.0,490.0,32.0,0.0,,0,0,11.618379579397333,380.69197712785393,1.9428730791240163
1,167,ITEM,1,0.9260433174854728,0.07395668251452721,9,2,1531.0,958.0,1017.0,0.0,0.0,280.0,344.1818181818182,33.0,1.0,0.0,0,0,19.91403944993542,577.4516823354996,2.0114895917919324
1,168,ITEM,1,0.8624600174469322,0.13753998255306776,8,2,1202.0,1263.0,501.0,0.0,473.0,0.0,343.9,37.0,2.0,1.0,1,0,16.732691709389602,365.606169600569,1.8723488267392123
1,169,ITEM,1,1.0,0.0,10,0,1336.0,1256.0,1283.0,0.0,0.0,0.0,387.5,52.0,0.0,,0,0,10.25620193570941,217.53682889752434,1.1425928284497735
1,171,ITEM,1,1.0,0.0,4,0,1445.0,1604.0,929.0,0.0,0.0,0.0,994.5,37.0,0.0,,0,0,3.2802888124124885,154.5803926045532,1.093695159209618
1,172,ITEM,1,1.0,0.0,12,0,1396.0,1403.0,1035.0,0.0,0.0,0.0,319.5,47.0,0.0,,0,0,12.909648827355808,301.83168389610535,1.1785532739705527
1,173,ITEM,1,1.0,0.0,10,0,1235.0,1091.0,1287.0,0.0,0.0,0.0,361.3,36.0,0.0,,0,0,7.4247206838464415,172.69271401653862,0.8261110347784809
1,174,ITEM,1,1.0,0.0,10,0,1878.0,769.0,1210.0,0.0,0.0,0.0,385.7,32.0,0.0,,0,0,11.139203863727909,295.12399570266416,1.241553989444927
1,175,ITEM,1,1.0,0.0,6,0,1577.0,1704.0,647.0,0.0,0.0,0.0,654.6666666666666,57.0,0.0,,0,0,6.842817750087465,190.5360354368694,1.3701272819536816
1,176,ITEM,1,1.0,0.0,3,0,3983.0,0.0,0.0,0.0,0.0,0.0,1327.6666666666667,33.0,0.0,,0,0,2.52983971457892,125.71435876621277,1.2650740048636684
1,178,ITEM,1,1.0,0.0,3,0,2992.0,0.0,1001.0,0.0,0.0,0.0,1331.0,34.0,0.0,,0,0,2.0086518146651384,110.32193798152746,1.004403060205416
1,179,ITEM,1,0.9071873231465761,0.09281267685342388,11,1,1503.0,1008.0,695.0,0.0,0.0,328.0,294.5,47.0,2.0,1.0,1,0,38.9715507299031,1183.3984584259686,3.6848189950073733
